"","name","quality","difficulty","noRate","wouldtakeagain","course","campus","namelink"
"1","Jau Rao","2.4","3.4","10 ratings","N/A","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=133619"
"2","Marty Anderson","4.5","3","3 ratings","100%","Management","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=133642"
"3","Dick Bliss","4.3","3.8","9 ratings","100%","Finance","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=133647"
"4","Stephen Collins","3.5","3.7","22 ratings","34%","History","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=136735"
"5","Elizabeth Riley","4.8","3.6","5 ratings","N/A","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=181675"
"6","Stephen Shapiro","3.5","3.6","9 ratings","100%","Marketing","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=196871"
"7","Eli Bortman","4.2","1.7","18 ratings","N/A","Law","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=208923"
"8","Ruth Gilleran","4.1","2.1","28 ratings","89%","Computer Science","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=210599"
